data,descricao,categoria,valor,tipo,is_anomaly
2025-02-17,Educacao - compra,educacao,-67.46,debito,False
2025-02-18,Transporte - compra,transporte,-71.52,debito,False
2025-02-19,Alimentacao - compra,alimentacao,-1248.3,debito,False
2025-02-19,Saude - compra,saude,-208.1,debito,False
2025-02-22,Transporte - compra,transporte,-120.63,debito,False
2025-02-23,Moradia - compra,moradia,-452.09,debito,False
2025-02-25,Assinaturas - compra,assinaturas,-30.75,debito,False
2025-03-03,Educacao - compra,educacao,-60.38,debito,False
2025-03-03,Educacao - compra,educacao,-61.22,debito,False
2025-03-04,Lazer - compra,lazer,-95.26,debito,False
2025-03-05,Moradia - compra,moradia,-446.73,debito,False
2025-03-05,Salario,renda,9000.0,credito,False
2025-03-05,Alimentacao - compra,alimentacao,-400.9,debito,False
2025-03-05,Transporte - compra,transporte,-174.95,debito,False
2025-03-08,Educacao - compra,educacao,-60.27,debito,False
2025-03-09,Moradia - compra,moradia,-454.11,debito,False
2025-03-09,Outros - compra,outros,-76.18,debito,False
2025-03-10,Streaming Premium (assinatura),assinaturas,-39.9,debito,False
2025-03-10,Lazer - compra,lazer,-52.52,debito,False
2025-03-11,Transporte - compra,transporte,-134.13,debito,False
2025-03-13,Assinaturas - compra,assinaturas,-109.64,debito,False
2025-03-13,Outros - compra,outros,-42.9,debito,False
2025-03-14,Alimentacao - compra,alimentacao,-434.61,debito,False
2025-03-17,Transporte - compra,transporte,-147.01,debito,False
2025-03-18,Moradia - compra,moradia,-447.22,debito,False
2025-03-20,Educacao - compra,educacao,-56.66,debito,False
2025-03-20,Alimentacao - compra,alimentacao,-435.06,debito,False
2025-03-21,Saude - compra,saude,-127.31,debito,False
2025-03-21,Moradia - compra,moradia,-446.56,debito,False
2025-03-24,Outros - compra,outros,-69.55,debito,False
2025-03-25,Saude - compra,saude,-95.67,debito,False
2025-04-02,Educacao - compra,educacao,-85.95,debito,False
2025-04-03,Alimentacao - compra,alimentacao,-412.91,debito,False
2025-04-04,Moradia - compra,moradia,-900.39,debito,False
2025-04-04,Transporte - compra,transporte,-307.31,debito,False
2025-04-05,Salario,renda,9000.0,credito,False
2025-04-05,Alimentacao - compra,alimentacao,-415.84,debito,False
2025-04-05,Outros - compra,outros,-124.86,debito,False
2025-04-05,Educacao - compra,educacao,-81.48,debito,False
2025-04-10,Streaming Premium (assinatura),assinaturas,-39.9,debito,False
2025-04-16,Outros - compra,outros,-27.92,debito,False
2025-04-16,Lazer - compra,lazer,-258.45,debito,False
2025-04-17,Saude - compra,saude,-67.4,debito,False
2025-04-17,Alimentacao - compra,alimentacao,-382.77,debito,False
2025-04-18,Transporte - compra,transporte,-271.98,debito,False
2025-04-19,Assinaturas - compra,assinaturas,-131.98,debito,False
2025-04-20,Moradia - compra,moradia,-904.19,debito,False
2025-04-25,Saude - compra,saude,-126.61,debito,False
2025-04-26,Educacao - compra,educacao,-74.87,debito,False
2025-05-01,Moradia - compra,moradia,-459.59,debito,False
2025-05-02,Lazer - compra,lazer,-242.21,debito,False
2025-05-02,Assinaturas - compra,assinaturas,-37.55,debito,False
2025-05-04,Alimentacao - compra,alimentacao,-273.74,debito,False
2025-05-05,Salario,renda,9000.0,credito,False
2025-05-05,Assinaturas - compra,assinaturas,-37.44,debito,False
2025-05-08,Moradia - compra,moradia,-442.68,debito,False
2025-05-08,Alimentacao - compra,alimentacao,-315.16,debito,False
2025-05-08,Educacao - compra,educacao,-82.03,debito,False
2025-05-09,Saude - compra,saude,-137.26,debito,False
2025-05-09,Alimentacao - compra,alimentacao,-291.43,debito,False
2025-05-09,Outros - compra,outros,-56.58,debito,False
2025-05-10,Streaming Premium (assinatura),assinaturas,-39.9,debito,False
2025-05-11,Saude - compra,saude,-67.14,debito,False
2025-05-12,Moradia - compra,moradia,-448.73,debito,False
2025-05-12,Outros - compra,outros,-37.67,debito,False
2025-05-13,Outros - compra,outros,-58.57,debito,False
2025-05-15,Alimentacao - compra,alimentacao,-209.57,debito,False
2025-05-17,Transporte - compra,transporte,-186.85,debito,False
2025-05-20,Transporte - compra,transporte,-154.89,debito,False
2025-05-23,Moradia - compra,moradia,-446.26,debito,False
2025-05-25,Transporte - compra,transporte,-105.56,debito,False
2025-05-25,Assinaturas - compra,assinaturas,-43.16,debito,False
2025-05-25,Outros - compra,outros,-46.44,debito,False
2025-05-26,Educacao - compra,educacao,-87.05,debito,False
2025-05-27,Educacao - compra,educacao,-82.99,debito,False
2025-05-27,Saude - compra,saude,-133.54,debito,False
2025-06-01,Outros - compra,outros,-159.91,debito,False
2025-06-04,Transporte - compra,transporte,-643.91,debito,False
2025-06-05,Salario,renda,9000.0,credito,False
2025-06-05,Lazer - compra,lazer,-76.8,debito,False
2025-06-05,Saude - compra,saude,-85.13,debito,False
2025-06-07,Saude - compra,saude,-77.72,debito,False
2025-06-10,Streaming Premium (assinatura),assinaturas,-39.9,debito,False
2025-06-12,Assinaturas - compra,assinaturas,-56.34,debito,False
2025-06-14,Assinaturas - compra,assinaturas,-57.47,debito,False
2025-06-14,Saude - compra,saude,-63.16,debito,False
2025-06-14,Saude - compra,saude,-70.1,debito,False
2025-06-19,Educacao - compra,educacao,-198.75,debito,False
2025-06-20,Lazer - compra,lazer,-164.42,debito,False
2025-06-20,Moradia - compra,moradia,-907.72,debito,False
2025-06-21,Moradia - compra,moradia,-903.3,debito,False
2025-06-24,Lazer - compra,lazer,-161.76,debito,False
2025-06-26,Alimentacao - compra,alimentacao,-904.48,debito,False
2025-06-27,Lazer - compra,lazer,-52.5,debito,False
2025-07-01,Saude - compra,saude,-148.23,debito,False
2025-07-04,Moradia - compra,moradia,-594.19,debito,False
2025-07-04,Outros - compra,outros,-167.43,debito,False
2025-07-04,Assinaturas - compra,assinaturas,-38.94,debito,False
2025-07-04,Moradia - compra,moradia,-596.07,debito,False
2025-07-05,Salario,renda,9000.0,credito,False
2025-07-05,Transporte - compra,transporte,-119.32,debito,False
2025-07-05,Lazer - compra,lazer,-429.16,debito,False
2025-07-09,Alimentacao - compra,alimentacao,-658.12,debito,False
2025-07-10,Streaming Premium (assinatura),assinaturas,-39.9,debito,False
2025-07-10,Educacao - compra,educacao,-98.16,debito,False
2025-07-17,Lazer - compra,lazer,-108.94,debito,False
2025-07-18,Outros - compra,outros,-5.46,debito,False
2025-07-18,Transporte - compra,transporte,-82.0,debito,False
2025-07-21,Transporte - compra,transporte,-115.05,debito,False
2025-07-22,Saude - compra,saude,-41.46,debito,False
2025-07-23,Saude - compra,saude,-76.37,debito,False
2025-07-23,Moradia - compra,moradia,-584.08,debito,False
2025-07-23,Educacao - compra,educacao,-116.82,debito,False
2025-07-24,Assinaturas - compra,assinaturas,-44.42,debito,False
2025-07-25,Transporte - compra,transporte,-106.2,debito,False
2025-07-26,Alimentacao - compra,alimentacao,-583.31,debito,False
2025-07-26,Assinaturas - compra,assinaturas,-37.88,debito,False
2025-08-03,Alimentacao - compra,alimentacao,-315.65,debito,False
2025-08-04,Educacao - compra,educacao,-122.02,debito,False
2025-08-05,Salario,renda,9000.0,credito,False
2025-08-06,Educacao - compra,educacao,-121.67,debito,False
2025-08-08,Saude - compra,saude,-283.94,debito,False
2025-08-09,Transporte - compra,transporte,-644.48,debito,False
2025-08-10,Streaming Premium (assinatura),assinaturas,-39.9,debito,False
2025-08-10,Alimentacao - compra,alimentacao,-373.49,debito,False
2025-08-11,Outros - compra,outros,-80.74,debito,False
2025-08-12,Assinaturas - compra,assinaturas,-116.67,debito,False
2025-08-13,Moradia - compra,moradia,-938.33,debito,False
2025-08-20,Outros - compra,outros,-68.79,debito,False
2025-08-22,Outros - compra,outros,-107.18,debito,False
2025-08-25,Lazer - compra,lazer,-231.3,debito,False
2025-08-25,Lazer - compra,lazer,-166.7,debito,False
2025-08-26,Alimentacao - compra,alimentacao,-532.26,debito,False
2025-08-27,Moradia - compra,moradia,-876.83,debito,False
2025-09-02,Moradia - compra,moradia,-449.12,debito,False
2025-09-02,Alimentacao - compra,alimentacao,-479.86,debito,False
2025-09-03,Alimentacao - compra,alimentacao,-728.64,debito,False
2025-09-05,Salario,renda,9000.0,credito,False
2025-09-07,Educacao - compra,educacao,-63.6,debito,False
2025-09-07,Outros - compra,outros,-5.31,debito,False
2025-09-09,Saude - compra,saude,-41.69,debito,False
2025-09-09,Outros - compra,outros,-64.21,debito,False
2025-09-10,Streaming Premium (assinatura),assinaturas,-89.9,debito,True
2025-09-12,Assinaturas - compra,assinaturas,-58.88,debito,False
2025-09-13,Educacao - compra,educacao,-61.02,debito,False
2025-09-13,Assinaturas - compra,assinaturas,-60.98,debito,False
2025-09-15,Moradia - compra,moradia,-443.51,debito,False
2025-09-15,Educacao - compra,educacao,-63.45,debito,False
2025-09-16,Moradia - compra,moradia,-453.47,debito,False
2025-09-17,Saude - compra,saude,-76.57,debito,False
2025-09-18,Moradia - compra,moradia,-468.84,debito,False
2025-09-19,Transporte - compra,transporte,-504.02,debito,False
2025-09-20,Outros - compra,outros,-101.22,debito,False
2025-09-22,Saude - compra,saude,-82.91,debito,False
2025-09-22,Lazer - compra,lazer,-556.21,debito,False
2025-09-22,Saude - compra,saude,-71.9,debito,False
2025-09-23,Educacao - compra,educacao,-71.7,debito,False
2025-10-03,Outros - compra,outros,-19.59,debito,False
2025-10-05,Assinaturas - compra,assinaturas,-112.97,debito,False
2025-10-05,Transporte - compra,transporte,-123.85,debito,False
2025-10-05,Salario,renda,9000.0,credito,False
2025-10-07,Outros - compra,outros,-13.5,debito,False
2025-10-09,Alimentacao - compra,alimentacao,-323.71,debito,False
2025-10-10,Streaming Premium (assinatura),assinaturas,-89.9,debito,True
2025-10-13,Outros - compra,outros,-95.34,debito,False
2025-10-14,Alimentacao - compra,alimentacao,-394.17,debito,False
2025-10-15,Transporte - compra,transporte,-152.5,debito,False
2025-10-15,Transporte - compra,transporte,-181.05,debito,False
2025-10-16,Saude - compra,saude,-518.48,debito,False
2025-10-17,Lazer - compra,lazer,-52.04,debito,False
2025-10-18,Lazer - compra,lazer,-200.85,debito,False
2025-10-19,Lazer - compra,lazer,-114.59,debito,False
2025-10-19,Moradia - compra,moradia,-1787.96,debito,False
2025-10-20,Educacao - compra,educacao,-210.7,debito,False
2025-10-21,Alimentacao - compra,alimentacao,-393.54,debito,False
2025-10-22,Outros - compra,outros,-29.03,debito,False
2025-10-26,Alimentacao - compra,alimentacao,-331.46,debito,False
2025-11-03,Moradia - compra,moradia,-1811.23,debito,False
2025-11-04,Lazer - compra,lazer,-165.11,debito,False
2025-11-05,Assinaturas - compra,assinaturas,-61.15,debito,False
2025-11-05,Salario,renda,9000.0,credito,False
2025-11-06,Saude - compra,saude,-115.74,debito,False
2025-11-07,Lazer - compra,lazer,-171.77,debito,False
2025-11-09,Assinaturas - compra,assinaturas,-59.56,debito,False
2025-11-10,Streaming Premium (assinatura),assinaturas,-89.9,debito,True
2025-11-13,Transporte - compra,transporte,-242.12,debito,False
2025-11-16,Alimentacao - compra,alimentacao,-1331.49,debito,False
2025-11-17,Lazer - compra,lazer,-66.92,debito,False
2025-11-18,Saude - compra,saude,-200.8,debito,False
2025-11-20,Educacao - compra,educacao,-92.24,debito,False
2025-11-22,Educacao - compra,educacao,-85.59,debito,False
2025-11-22,Lazer - compra,lazer,-123.07,debito,False
2025-11-25,Transporte - compra,transporte,-229.05,debito,False
2025-11-25,Educacao - compra,educacao,-85.29,debito,False
2025-11-26,Outros - compra,outros,-72.98,debito,False
2025-12-01,Educacao - compra,educacao,-115.07,debito,False
2025-12-01,Lazer - compra,lazer,-684.81,debito,False
2025-12-01,Alimentacao - compra,alimentacao,-495.69,debito,False
2025-12-02,Assinaturas - compra,assinaturas,-35.38,debito,False
2025-12-03,Outros - compra,outros,-56.88,debito,False
2025-12-03,Saude - compra,saude,-104.32,debito,False
2025-12-04,Transporte - compra,transporte,-213.46,debito,False
2025-12-04,Transporte - compra,transporte,-355.93,debito,False
2025-12-05,Salario,renda,9000.0,credito,False
2025-12-07,Outros - compra,outros,-65.9,debito,False
2025-12-09,Educacao - compra,educacao,-131.55,debito,False
2025-12-10,Streaming Premium (assinatura),assinaturas,-89.9,debito,True
2025-12-11,Moradia - compra,moradia,-617.78,debito,False
2025-12-13,Alimentacao - compra,alimentacao,-400.82,debito,False
2025-12-13,Saude - compra,saude,-35.91,debito,False
2025-12-17,Outros - compra,outros,-54.15,debito,False
2025-12-20,Alimentacao - compra,alimentacao,-460.61,debito,False
2025-12-21,Lazer - compra atipica,lazer,-2200.0,debito,True
2025-12-22,Assinaturas - compra,assinaturas,-37.17,debito,False
2025-12-23,Outros - compra,outros,-71.06,debito,False
2025-12-24,Assinaturas - compra,assinaturas,-39.06,debito,False
2025-12-26,Moradia - compra,moradia,-602.43,debito,False
2025-12-26,Moradia - compra,moradia,-591.08,debito,False
2025-12-27,Saude - compra,saude,-49.93,debito,False
